runs,country,dayofyear,time,residual,subset
h135,SWE,334,2009-11-30 12:00:00,0.030816237206202475,all sets
h136,SWE,334,2009-11-30 12:00:00,-0.029218165978875825,all sets
h137,SWE,334,2009-11-30 12:00:00,0.006716273387186974,all sets
h138,SWE,334,2009-11-30 12:00:00,0.06001513858548209,all sets
h139,SWE,334,2009-11-30 12:00:00,-0.3762441791189738,all sets
h140,SWE,334,2009-11-30 12:00:00,0.1897705899018493,all sets
h141,SWE,334,2009-11-30 12:00:00,0.23506480159488105,all sets
h142,SWE,334,2009-11-30 12:00:00,0.2837192924378009,all sets
h143,SWE,334,2009-11-30 12:00:00,0.3386703195806701,all sets
h144,SWE,334,2009-11-30 12:00:00,0.276175946031162,all sets
h145,SWE,334,2009-11-30 12:00:00,0.3624883592626646,all sets
h146,SWE,334,2009-11-30 12:00:00,0.5103979190171923,all sets
h147,SWE,334,2009-11-30 12:00:00,0.6126217192198968,all sets
h148,SWE,334,2009-11-30 12:00:00,0.3236210900750585,all sets
h149,SWE,334,2009-11-30 12:00:00,0.20781354650643358,all sets
h150,SWE,334,2009-11-30 12:00:00,0.35943911163489584,all sets
h151,SWE,334,2009-11-30 12:00:00,0.1103050522298534,all sets
h152,SWE,334,2009-11-30 12:00:00,0.4536593300137994,all sets
h153,SWE,334,2009-11-30 12:00:00,-0.039748274044337936,all sets
h154,SWE,334,2009-11-30 12:00:00,0.12984137762553408,all sets
h155,SWE,334,2009-11-30 12:00:00,-0.26909159667414484,all sets
h156,SWE,334,2009-11-30 12:00:00,0.09602731525425555,all sets
h157,SWE,334,2009-11-30 12:00:00,0.20907125392279274,all sets
h158,SWE,334,2009-11-30 12:00:00,0.04375180345335358,all sets
h159,SWE,334,2009-11-30 12:00:00,0.10661680479560731,all sets
h160,SWE,334,2009-11-30 12:00:00,0.04617274530030007,all sets
h161,SWE,334,2009-11-30 12:00:00,0.097746806159267,all sets
h162,SWE,334,2009-11-30 12:00:00,-0.16674479288539534,all sets
h163,SWE,334,2009-11-30 12:00:00,0.2570562437482075,all sets
h164,SWE,334,2009-11-30 12:00:00,-0.17546287801657776,all sets
h165,SWE,334,2009-11-30 12:00:00,-0.1092270100723805,all sets
h166,SWE,334,2009-11-30 12:00:00,-0.20064824574133536,all sets
