runs,year,Ein,netto_demand,country
h032,2001,277694.85598453187,313889.9824248358,35.0
h032,2002,407697.0853129548,299825.2636178944,35.0
h032,2003,347768.2930139062,304243.6542987713,35.0
h032,2004,329832.14500857535,306152.7868514021,35.0
h032,2005,381203.1345273579,293044.5072830209,35.0
h032,2006,458342.0241058666,294968.5499657828,35.0
h032,2007,291558.0580276955,319387.64009963593,35.0
h032,2008,516120.59232111217,289506.4667266834,35.0
h032,2009,432326.13451734564,306185.12065591675,35.0
h033,2000,417315.2075501284,317030.38587624085,35.0
h033,2001,292507.92486036423,310550.6098770127,35.0
h033,2002,428438.9821058979,302979.0497031516,35.0
h033,2003,385380.9264979315,305021.3342625744,35.0
h033,2004,561956.9120581074,290960.84269275155,35.0
h033,2005,407258.89704612485,309782.6019260891,35.0
h033,2006,394813.1683857171,296722.22455883224,35.0
h033,2007,315137.1909721427,312534.6755494274,35.0
h033,2008,459824.23480525875,302187.43338992924,35.0
h033,2009,436702.9074781396,288605.17982859595,35.0
h034,2000,464919.99389920704,306101.82289412495,35.0
h034,2001,548856.2962091615,291977.2565332673,35.0
h034,2002,434629.5146194411,293277.02123148553,35.0
h034,2003,284547.545343628,305934.84573053237,35.0
h034,2004,492517.4678238443,308773.11307008256,35.0
h034,2005,588993.5917862398,296186.95359805546,35.0
h034,2006,518160.8072495598,307452.2450287271,35.0
h034,2007,247591.82048727424,296749.0807936572,35.0
h034,2008,418288.3957203008,301453.89079365396,35.0
h034,2009,308939.41369724437,294663.1488974597,35.0
h035,2000,435306.2378717746,305257.46193445445,35.0
h035,2001,401633.5951095297,302116.6163313828,35.0
h035,2002,236269.65677461153,304889.93481886183,35.0
h035,2003,359954.72971691086,297020.3973419153,35.0
h035,2004,324047.54997476714,320731.4463917199,35.0
h035,2005,289263.41758447833,307926.7530682065,35.0
h035,2006,368166.0370901884,316598.11670551874,35.0
h035,2007,398891.07387591334,306844.1452502495,35.0
h035,2008,518804.6118330592,306288.88406342425,35.0
h035,2009,494252.05181667546,287574.9811236986,35.0
h036,2000,312496.34269242163,312507.9487562207,35.0
h036,2001,343398.0088597093,330958.7266761743,35.0
h036,2002,484028.88413993263,297993.6166591264,35.0
h036,2003,348937.1723565966,314442.68849467963,35.0
h036,2004,447980.3315644777,296352.01373060147,35.0
h036,2005,315497.2378812213,298714.8113801776,35.0
h036,2006,389325.79970426124,300819.21458802,35.0
h036,2007,331508.43228419626,310627.61248043424,35.0
h036,2008,337510.77046675124,313286.37721922796,35.0
h036,2009,314504.12717165914,308281.75883710536,35.0
h037,2000,319556.91304634593,326575.8758141491,35.0
h037,2001,379660.7832429455,296288.37720970035,35.0
h037,2002,330244.377212399,315927.1424589859,35.0
h037,2003,315218.7240760623,302576.0114475527,35.0
h037,2004,366103.445823318,310953.62650344486,35.0
h037,2005,405754.1067120039,304283.7901747071,35.0
h037,2006,438448.0434751332,302190.6177886411,35.0
h037,2007,391801.6249227387,302252.65902312216,35.0
h037,2008,477998.4737529507,300266.50061047875,35.0
h037,2009,455929.87155064824,294239.2779093249,35.0
h038,2000,332542.70489103784,302971.2052152206,35.0
h038,2001,553482.6941378728,293025.08688218263,35.0
h038,2002,381745.7303033671,321957.78263648105,35.0
h038,2003,208053.24811926624,322364.2448973727,35.0
h038,2004,369152.2662249645,308035.6301506769,35.0
h038,2005,317932.04471340246,303897.5438662624,35.0
h038,2006,470196.74799609784,293867.0974204068,35.0
h038,2007,386844.7733426748,287957.8057682411,35.0
h038,2008,480187.7198527694,285780.3694901267,35.0
h038,2009,462941.7506596642,293772.05878758244,35.0
h039,2000,433725.1955502138,297572.0347090422,35.0
h039,2001,414422.7211249294,300220.2898970104,35.0
h039,2002,457194.74344107625,308058.2750184329,35.0
h039,2003,602454.0199170231,275842.1522292444,35.0
h039,2004,387812.9569316769,308196.50071933505,35.0
h039,2005,398016.81297607324,306431.2900710861,35.0
h039,2006,375446.2365271497,301672.75824230217,35.0
h039,2007,338200.7210342663,299117.1105842449,35.0
h039,2008,449615.7470697721,304818.4085965317,35.0
h039,2009,308786.81663467886,305931.5431922144,35.0
h040,2000,377552.46857522114,315386.06284586026,35.0
h040,2001,458827.7142513475,300371.50347979856,35.0
h040,2002,276276.5568571987,303671.6743137865,35.0
h040,2003,561448.1068500514,298070.9098659319,35.0
h040,2004,467761.06086384197,314799.9130898044,35.0
h040,2005,313525.1329042533,298271.13545966527,35.0
h040,2006,552432.9293860084,303926.7288432784,35.0
h040,2007,579404.6371142028,294874.72957264876,35.0
h040,2008,357253.92518242873,314377.77186747955,35.0
h040,2009,627635.3683007292,288474.5222645627,35.0
h041,2000,310855.92346872966,284115.015247762,35.0
h041,2001,471581.3407895154,312795.35528471903,35.0
h041,2002,499717.3232701501,304149.1613351856,35.0
h041,2003,469424.8017995218,308300.4274806462,35.0
h041,2004,502756.9685027785,329125.03280495113,35.0
h041,2005,608439.2573927478,289354.40531233954,35.0
h041,2006,346283.8910545066,314918.5633861587,35.0
h041,2007,591326.3779762345,303969.53573380416,35.0
h041,2008,371262.6311115945,290059.7804623966,35.0
h041,2009,209611.4515221494,311939.4457124484,35.0
h042,2000,466596.7775305105,307190.8812367415,35.0
h042,2001,400324.2613435315,285744.1054986551,35.0
h042,2002,342334.3591770631,318071.79689055285,35.0
h042,2003,472282.226010939,302893.44431462977,35.0
h042,2004,433038.27037707565,305963.88955249457,35.0
h042,2005,355897.3184178445,309669.3150600108,35.0
h042,2006,587594.3372968439,301627.2789609315,35.0
h042,2007,319040.66449215077,320249.64973130316,35.0
h042,2008,391321.59899469867,304499.4650442719,35.0
h042,2009,470121.7883666061,303028.95119820174,35.0
h043,2000,330289.0304926113,305108.75058264914,35.0
h043,2001,418009.9350263305,308486.75083851157,35.0
h043,2002,393236.30946807604,305105.47323403857,35.0
h043,2003,557623.5703289331,301766.73164315807,35.0
h043,2004,350690.50498312176,298719.83815615094,35.0
h043,2005,590393.2327178565,299086.39429207356,35.0
h043,2006,556308.4747845916,311072.0811771416,35.0
h043,2007,265836.87069959834,320897.5214686269,35.0
h043,2008,375804.25873830606,318996.38756493694,35.0
h043,2009,322205.69865014486,311188.95423858607,35.0
h044,2000,424536.3233108082,295401.181367486,35.0
h044,2001,329247.7733341824,291746.4252978802,35.0
h044,2002,351097.2249495145,307480.4447715556,35.0
h044,2003,443239.4835450748,302006.61539479875,35.0
h044,2004,341922.40216755646,306452.74024816335,35.0
h044,2005,613686.2212038666,284188.0030644491,35.0
h044,2006,502483.7992215629,293228.0709557744,35.0
h044,2007,515073.1915744803,305817.73345266015,35.0
h044,2008,390495.6772199639,303362.44013281993,35.0
h044,2009,409508.5304473154,297063.0605381239,35.0
h045,2000,358374.5130584732,312160.0538513185,35.0
h045,2001,306982.42819835973,313883.8147432529,35.0
h045,2002,647629.3222802108,290782.43036539,35.0
h045,2003,486972.5540469678,320276.77952570963,35.0
h045,2004,514044.9610924533,284991.740235095,35.0
h045,2005,346812.52496307716,315822.9368494154,35.0
h045,2006,278360.1637311795,331198.60060610686,35.0
h045,2007,517110.9396802192,303799.6638652783,35.0
h045,2008,417412.91502460436,294226.5224839281,35.0
h045,2009,324651.7176534011,319449.86216685997,35.0
h046,2000,314377.44783950516,318465.17015971453,35.0
h046,2001,312268.7819195836,307653.1730720539,35.0
h046,2002,350389.71687484137,316573.94973195874,35.0
h046,2003,405299.090708303,319722.20299901685,35.0
h046,2004,337028.9483993093,316858.1487147562,35.0
h046,2005,461222.481001362,298924.87387336505,35.0
h046,2006,508258.3178467586,303325.22941653256,35.0
h046,2007,367256.5756563497,306040.5989306301,35.0
h046,2008,331828.626611704,299866.11013223697,35.0
h046,2009,423019.38073843106,314570.4668117566,35.0
h047,2000,351744.56194927526,306662.2247285884,35.0
h047,2001,470389.7493676986,314378.06762905046,35.0
h047,2002,448466.62121863366,319780.596154577,35.0
h047,2003,368951.46533664316,311668.5789861037,35.0
h047,2004,354924.33603646856,303982.88148073945,35.0
h047,2005,405500.0545118527,305596.48093715066,35.0
h047,2006,400421.02813230414,292960.26171545405,35.0
h047,2007,477692.9558326379,301298.29181200237,35.0
h047,2008,221640.33168153625,299183.12372529437,35.0
h047,2009,338515.4386232021,314302.7688504045,35.0
h048,2000,435270.98845533154,295676.95840332354,35.0
h048,2001,474183.5602718449,308048.0655737644,35.0
h048,2002,496747.22271151654,307448.86665312113,35.0
h048,2003,438752.71606806724,318833.1798817313,35.0
h048,2004,540851.314279351,304161.7860717409,35.0
h048,2005,362091.69099689514,310270.42178958387,35.0
h048,2006,522405.6605535236,309070.1702397813,35.0
